indicator,time,t2m,data,tp,cdd,dmd,fwi
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1940-01-01,280.69242288607677,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1941-01-01,280.87683205348003,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1942-01-01,281.0565444290127,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1943-01-01,282.2895268019393,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1944-01-01,281.761930919262,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1945-01-01,281.77114445669963,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1946-01-01,281.93175942669,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1947-01-01,281.9738297896427,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1948-01-01,281.8642352507812,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1949-01-01,282.19166661832986,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1950-01-01,282.25763117606306,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1951-01-01,282.23023511318945,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1952-01-01,281.93283008022803,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1953-01-01,282.1815336914853,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1954-01-01,281.70356078958315,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1955-01-01,281.8248826161272,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1956-01-01,280.7418635761636,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1957-01-01,282.10063333599675,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1958-01-01,281.87098041868614,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1959-01-01,282.2298542603713,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1960-01-01,282.1590410249297,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1961-01-01,282.50753847575675,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1962-01-01,281.5813025188986,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1963-01-01,281.4465492357851,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1964-01-01,281.7407924420279,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1965-01-01,281.31235739615215,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1966-01-01,281.9393911954192,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1967-01-01,282.0466824955105,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1968-01-01,281.83331164087986,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1969-01-01,281.58944926119966,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1970-01-01,281.8440786653189,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1971-01-01,281.891331121273,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1972-01-01,281.8927998456318,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1973-01-01,281.8598251138704,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1974-01-01,282.2788857912708,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1975-01-01,282.3608379901171,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1976-01-01,281.5073310761021,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1977-01-01,281.97801033419745,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1978-01-01,281.4495021672317,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1979-01-01,281.70342530103,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1980-01-01,281.4218301896841,,,,,
01_mean_temperature-reanalysis-yearly-layer-eea_eea_38-latitude-1940-2023-v1.0,1981-01-01,281.9095709655569,,,,,
